adslot_id	sd_cnt	lhb_cnt	ymfw_cnt
1.132.1.15	0	2	7
vivo.un.ys.dj	1700	1704	4605
1.13.z.3	0	74	252
my.sp.android	84	4	0
v.br.dsp.ht	0	0	0
1.19.a.1	0	0	1
1.13.c.3	0	1	6
yy.sdk.interstitial	687	13	0
ms.jlsp.ios	1101	1298	0
1.13.g.4	0	2	10
vivo.sd.gdp.first.al	0	0	0
v.vd.dsp.ht2	0	0	0
vivo.suop.spl17	0	0	29
1.13.c.5	0	0	0
v.sp.spl2	0	0	0
kdxf.feeds.icon	10	2	0
rs.kp.android	379	24	0
vivo.qh.test1	558	3	0
2345.cp.and.xbxxdy	177	22	0
jazn.splash.ios	371	16	0
oppo.nm.llq.sy.tab	0	0	0
1.13.c.4	0	75	462
ms.kp.and.xy	769	38	0
oppo.llq.xxl.sskky.ssrb	0	0	0
vivo.llq.lby1	8	0	0
qtt.lm.video	50	452	0
vivo.un.cp.dj	1	0	0
1.11.z.9	0	243	653
vivo.br.lby1	25	1	0
v.br.tj4	76	2	7
bes.splash	0	0	0
oppo.llq.xxl.sskky.cnxs	0	0	0
oppo.xxl.qblh	0	0	3
1.132.2.5	0	0	0
v.dt.xxl2	4	0	0
vivo.br.xqy6	0	0	0
1.132.1.10	0	4	7
v.vd.dsp.tj8	0	0	0
hn.lm.xxl	4764	154	164
vivo.suop.spl1	0	0	20
1.140.4.4	0	5659	10445
1.13.c.30	0	0	1
ms.kp.ios.hclick	0	1	0
1.11.c.3	1	0	0
hn.app.mk.hiboard	0	0	108
op.nos.immvid.vidpost	0	0	0
v.sp.spl	0	0	0
hc.kp.ios	6	0	0
op.bro.novel.read	0	0	0
zzsp.spl.06	0	3	7
1.19.i.2	0	0	228
vivo.un.ys.kyy	0	24	0
v.zhzm.cjs	0	0	0
1.13.c.7	0	51	235
1.132.4.2	0	1	5
v.push	15124	19121	0
1.13.c.1	0	1	2
vivo.llq.lby4	0	0	0
hn.lm.xxl1	0	0	959
vivo.suop.cjs1	0	0	0
jazn.splash.android.xcx	44	0	0
oppo.fypxfggw	0	0	0
vivo.br.xqy3	0	0	0
bzx.kp.ios.tb	1094	118	0
1.132.3.1	0	5	9
v.br.tq.ybxq.xxl	0	0	0
1.132.2.1	0	0	1
vivo.br.xqy1	1	0	0
jazn.cp.ios	26	0	0
v.ls.shf1	0	0	0
jazn.splash.android.qh	27	0	0
op.nos.sv	0	0	0
1.132.1.14	0	0	1
v.br.tj3	6	0	0
admb.kp.and	92	3	0
hn.app.mk.search	0	0	265
vivo.ls.dd.bslpsl	0	0	0
magic.splash.ios	15772	137	0
1.13.c.16	0	0	1
v.dt.spl2	0	0	0
vivo.br.xqy4	0	0	0
1.132.3.2	0	0	0
ytsp-lp-wzl	50	0	0
vivo.sd.vs.bs	0	0	0
op.bro.vid.pp	0	0	0
ms.kp.android	17	0	0
vivo.br.lby2	1	0	0
ks.jlsp.android	64	9	0
bzx.jlsp.and.tl	219	79	0
v.br.xs.yx.wy	4	1	1
1.132.1.4	0	0	1
v.br.tq.15t.xxl	0	0	0
yhc.xxl	108828	735	0
vivo.un.ys.kyx	466	541	1439
v.br.sj.qnzcy	54	0	0
2345.xxl.and.xbxxdy	217	42	0
v.br.twxq2	0	0	0
ms.kp.ios.cainiao	0	0	0
kx.splash.android	30167	3372	0
1.11.d.2	0	1	0
vivo.suop.spl3	0	0	0
1.13.1.4	0	0	3
yy.sdk.vsplash	802	12	0
1.13.f.9	0	0	3
bzx.kp.and	9	0	0
1.132.1.1	0	49	104
zzsp.spl.04	69	2	0
1.11.v.6	13	0	0
mm.xxl.and	133	5	0
ms.kp.ios.xy	98	10	0
op.nos.immvid	0	0	0
1.132.4.4	0	0	0
1.13.g.6	0	1	3
mgtv.tl.dfc	0	1	0
1.11.29.2	0	387	821
jazn.feeds.android	65	1	0
vivo.br.xqy5	3	0	0
v.sp.hbsp	1	0	0
oppo.llq.xxl.wyspztgg	0	0	0
bzx.kp.and.tb	214	0	0
v.br.sp6	0	0	0
1.11.d.1	8892	418	609
ms.ios.kp3	30231	1652	0
rs.kp.ios.mt	11272	1224	0
jazn.cp.android.qh	563	4	0
v.sp.yt	10987	377	0
vivo.suop.spl11	0	0	0
admb.kp.ios	3533	60	0
ms.kp.ios.tao	2338	35	0
1.11.z.19	0	47	133
v.br.cjsym	0	0	0
1.1.e.1	0	1	3
v.br.xs.tbtl.sc	50	0	1
vivo.zhzm.zxxl.spldet.xb	3	0	0
1.1.b.20	0	0	0
oppo.sp.xxl.spwzzcggw	0	0	0
1.132.3.4	0	11	35
1.132.4.1	0	1	2
1.13.g.11	0	0	0
1.19.m.1	0	0	7
vivo.sd.cl	95	3	121
1.19.e.1	0	0	3
1.132.1.2	0	6	14
v.qs.dzbd	0	0	1259
v.llq.lby.01	1	0	0
1.13.g.23	0	40	100
1.19.s.1	0	0	56
mm.kp.and	116	2	0
vivo.suop.spl5	0	0	0
admb.kp.kyy	141	0	0
1.11.t.4	0	275	627
v.dt.twxqy2.yd	0	0	0
1.13.1.6	0	349	1281
vivo.br.xqy2	0	0	0
jazn.cp.android	21	0	0
ms.jlsp.and	1495	3491	0
v.dt.spl1	6	0	0
v.br.twxq1	2	0	0
1.13.z.1	0	34	109
vivo.suop.spl2	0	0	0
hn.app.sdw.tuijian	0	0	232
bz.splash.android	50761	5068	0
1.13.g.7	0	1	3
vivo.br.lby3	0	0	0
v.qs.wzl2	15835	1192	3
hn.apprec.r1	42549	52379	75590
1.11.v.7	27	1	0
1.132.1.19	0	80	249
ms.kp.ios.zfb	489	5	0
1.132.1.3	0	0	0
op.nos.vidpost.first	0	0	0
bz.splash.ios	3311129	603861	0
v.br.tj10	93	3	0
vivo.llq.lby3	0	0	0
oppo.llq.xxl.sszd.wzl	0	0	0
1.1.10.1	0	2	4
admb.xxl.kyy	3	0	0
op.nos.vidpost.second	0	0	0
vivo.ls.dd.bslpfl	0	0	0
1.11.c.2	2	0	0
op.weadp	0	0	0
vivo.sd.vs.second.ls	0	0	0
v.undp.kp	114033	5397	0
oppo.llq.xxl.scyd.dbtl	0	0	0
op.bro.sv	0	0	0
vivo.zhzm.zxxl.spldyt.xb	412	21	2
1.11.t.1	0	454	1268
v.br.xs.qntl.sc	18	2	0
v.br.xs.yx.tbtl.sc	20	0	0
2345.kp.and.xbxxdy	354	7	0
v.vd.dsp.ht	0	0	0
v.ls.shf2	0	0	0
op.bro.lp	0	0	0
v.br.ssgj.lby1	0	0	0
vivo.zhzm.cjs1	193	3	0
1.1.15.2	0	57	102
1.132.1.6	0	0	0
jazn.splash.ios.qh	72	2	0
1.1.e.3	0	0	1
hc.kp.shuqi.ios	470	16	0
1.13.c.2	0	0	0
hn.app.kp	11247	55302	168981
v.vd.dsp.tj3	0	0	0
tap.kp.ksqh	0	0	0
1.140.4.1	160004	79716	51906
1.13.c.22	0	3	11
v.dt.xxl1	1	0	0
ms.kp.and.tao	327	32	0
1.13.g.5	0	0	7
hn.app.xxl	0	54	489
bzx.jlsp.ios.tl	330	37	0
jazn.splash.android	335	7	0
